"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	3511	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	3321	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	3302	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	2827	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"May, 1999"	"1999/05"	2743	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	2667	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	2835	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	2562	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	2540	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	3082	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	2886	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	3241	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"1999"	"1999"			35517	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	3827	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	3053	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	2939	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	2727	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"May, 2000"	"2000/05"	2942	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	2571	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	2677	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	2600	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	2622	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Oct., 2000"	"2000/10"	2939	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Nov., 2000"	"2000/11"	2873	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Dec., 2000"	"2000/12"	3301	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2000"	"2000"			35071	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Jan., 2001"	"2001/01"	3319	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Feb., 2001"	"2001/02"	2916	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Mar., 2001"	"2001/03"	3235	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Apr., 2001"	"2001/04"	2919	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"May, 2001"	"2001/05"	2874	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Jun., 2001"	"2001/06"	2681	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Jul., 2001"	"2001/07"	2624	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Aug., 2001"	"2001/08"	2673	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Sep., 2001"	"2001/09"	2556	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Oct., 2001"	"2001/10"	2776	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Nov., 2001"	"2001/11"	2760	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Dec., 2001"	"2001/12"	3005	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2001"	"2001"			34338	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Jan., 2002"	"2002/01"	3266	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Feb., 2002"	"2002/02"	3165	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Mar., 2002"	"2002/03"	3099	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Apr., 2002"	"2002/04"	2729	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"May, 2002"	"2002/05"	2735	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Jun., 2002"	"2002/06"	2527	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Jul., 2002"	"2002/07"	2683	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Aug., 2002"	"2002/08"	2542	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Sep., 2002"	"2002/09"	2484	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Oct., 2002"	"2002/10"	2767	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Nov., 2002"	"2002/11"	2848	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Dec., 2002"	"2002/12"	3131	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2002"	"2002"			33976	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Jan., 2003"	"2003/01"	3188	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Feb., 2003"	"2003/02"	2861	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Mar., 2003"	"2003/03"	2885	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Apr., 2003"	"2003/04"	2740	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"May, 2003"	"2003/05"	2565	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Jun., 2003"	"2003/06"	2642	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Jul., 2003"	"2003/07"	2596	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Aug., 2003"	"2003/08"	2511	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Sep., 2003"	"2003/09"	2441	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Oct., 2003"	"2003/10"	2774	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Nov., 2003"	"2003/11"	2666	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Dec., 2003"	"2003/12"	3345	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2003"	"2003"			33214	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Jan., 2004"	"2004/01"	3392	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Feb., 2004"	"2004/02"	2680	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Mar., 2004"	"2004/03"	2746	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Apr., 2004"	"2004/04"	2608	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"May, 2004"	"2004/05"	2518	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Jun., 2004"	"2004/06"	2408	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Jul., 2004"	"2004/07"	2460	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Aug., 2004"	"2004/08"	2354	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Sep., 2004"	"2004/09"	2297	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Oct., 2004"	"2004/10"	2581	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Nov., 2004"	"2004/11"	2610	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Dec., 2004"	"2004/12"	2883	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2004"	"2004"			31537	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Jan., 2005"	"2005/01"	3404	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Feb., 2005"	"2005/02"	2807	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Mar., 2005"	"2005/03"	2824	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Apr., 2005"	"2005/04"	2549	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"May, 2005"	"2005/05"	2454	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Jun., 2005"	"2005/06"	2292	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Jul., 2005"	"2005/07"	2313	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Aug., 2005"	"2005/08"	2171	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Sep., 2005"	"2005/09"	2172	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Oct., 2005"	"2005/10"	2374	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Nov., 2005"	"2005/11"	2529	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Dec., 2005"	"2005/12"	2751	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2005"	"2005"			30640	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Jan., 2006"	"2006/01"	2805	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Feb., 2006"	"2006/02"	2467	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Mar., 2006"	"2006/03"	2766	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Apr., 2006"	"2006/04"	2638	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"May, 2006"	"2006/05"	2537	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Jun., 2006"	"2006/06"	2313	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Jul., 2006"	"2006/07"	2376	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Aug., 2006"	"2006/08"	2184	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Sep., 2006"	"2006/09"	2212	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Oct., 2006"	"2006/10"	2405	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Nov., 2006"	"2006/11"	2321	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Dec., 2006"	"2006/12"	2691	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2006"	"2006"			29715	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Jan., 2007"	"2007/01"	2719	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Feb., 2007"	"2007/02"	2678	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Mar., 2007"	"2007/03"	2669	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Apr., 2007"	"2007/04"	2599	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"May, 2007"	"2007/05"	2388	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Jun., 2007"	"2007/06"	2240	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Jul., 2007"	"2007/07"	2245	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Aug., 2007"	"2007/08"	2119	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Sep., 2007"	"2007/09"	2170	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Oct., 2007"	"2007/10"	2279	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Nov., 2007"	"2007/11"	2455	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Dec., 2007"	"2007/12"	2718	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"			29279	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Jan., 2008"	"2008/01"	2715	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Feb., 2008"	"2008/02"	2744	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Mar., 2008"	"2008/03"	2853	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Apr., 2008"	"2008/04"	2474	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"May, 2008"	"2008/05"	2383	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Jun., 2008"	"2008/06"	2236	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Jul., 2008"	"2008/07"	2231	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Aug., 2008"	"2008/08"	2230	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Sep., 2008"	"2008/09"	2060	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Oct., 2008"	"2008/10"	2381	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Nov., 2008"	"2008/11"	2293	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Dec., 2008"	"2008/12"	2598	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"			29198	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Jan., 2009"	"2009/01"	2637	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Feb., 2009"	"2009/02"	2380	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Mar., 2009"	"2009/03"	2555	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Apr., 2009"	"2009/04"	2327	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"May, 2009"	"2009/05"	2355	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Jun., 2009"	"2009/06"	2152	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Jul., 2009"	"2009/07"	2214	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Aug., 2009"	"2009/08"	2184	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Sep., 2009"	"2009/09"	2067	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Oct., 2009"	"2009/10"	2286	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Nov., 2009"	"2009/11"	2233	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"Dec., 2009"	"2009/12"	2561	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"			27951	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Jan., 2010"	"2010/01"	2590	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Feb., 2010"	"2010/02"	2375	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Mar., 2010"	"2010/03"	2455	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Apr., 2010"	"2010/04"	2300	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"May, 2010"	"2010/05"	2230	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Jun., 2010"	"2010/06"	2114	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Jul., 2010"	"2010/07"	2119	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Aug., 2010"	"2010/08"	2065	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Sep., 2010"	"2010/09"	2071	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
